t_s,ecg_mv
0.0000,0.0716
0.0040,0.0642
0.0080,0.0580
0.0120,0.0449
0.0160,0.0474
0.0200,0.0761
0.0240,0.0854
0.0280,0.0890
0.0320,0.0575
0.0360,0.0369
0.0400,0.0662
0.0440,0.1155
0.0480,0.0699
0.0520,0.0747
0.0560,0.0644
0.0600,0.0492
0.0640,0.0901
0.0680,0.0745
0.0720,0.0691
0.0760,0.0487
0.0800,0.0685
0.0840,0.1014
0.0880,0.0717
0.0920,0.0789
0.0960,0.0836
0.1000,0.0948
0.1040,0.0713
0.1080,0.1059
0.1120,0.0560
0.1160,0.0642
0.1200,0.1109
0.1240,0.1127
0.1280,0.1044
0.1320,0.0662
0.1360,0.0894
0.1400,0.0958
0.1440,0.0899
0.1480,0.1251
0.1520,0.1117
0.1560,0.1276
0.1600,0.1712
0.1640,0.1415
0.1680,0.2115
0.1720,0.1911
0.1760,0.2258
0.1800,0.1921
0.1840,0.2276
0.1880,0.2082
0.1920,0.2136
0.1960,0.1711
0.2000,0.1898
0.2040,0.1626
0.2080,0.1773
0.2120,0.1117
0.2160,0.1228
0.2200,0.1349
0.2240,0.1325
0.2280,0.1093
0.2320,0.0745
0.2360,0.0855
0.2400,0.1015
0.2440,0.1042
0.2480,0.1250
0.2520,0.0973
0.2560,0.0975
0.2600,0.1019
0.2640,0.1278
0.2680,0.0885
0.2720,0.0941
0.2760,0.0978
0.2800,0.0761
0.2840,0.1286
0.2880,0.1024
0.2920,0.0857
0.2960,0.0938
0.3000,0.0714
0.3040,0.0568
0.3080,0.0193
0.3120,-0.0149
0.3160,0.0102
0.3200,0.0201
0.3240,0.1342
0.3280,0.2116
0.3320,0.2950
0.3360,0.4730
0.3400,0.7257
0.3440,0.9541
0.3480,1.0808
0.3520,1.0703
0.3560,0.9116
0.3600,0.6965
0.3640,0.4868
0.3680,0.2345
0.3720,0.0591
0.3760,-0.0394
0.3800,-0.1080
0.3840,-0.0893
0.3880,-0.0234
0.3920,0.0272
0.3960,0.0505
0.4000,0.0993
0.4040,0.1106
0.4080,0.1160
0.4120,0.1154
0.4160,0.1073
0.4200,0.1191
0.4240,0.1054
0.4280,0.1375
0.4320,0.1088
0.4360,0.1071
0.4400,0.1364
0.4440,0.1083
0.4480,0.1443
0.4520,0.1222
0.4560,0.1100
0.4600,0.1136
0.4640,0.1549
0.4680,0.1244
0.4720,0.1224
0.4760,0.1118
0.4800,0.1389
0.4840,0.1332
0.4880,0.1641
0.4920,0.1383
0.4960,0.1625
0.5000,0.1256
0.5040,0.1473
0.5080,0.1428
0.5120,0.1553
0.5160,0.1750
0.5200,0.1478
0.5240,0.2247
0.5280,0.1856
0.5320,0.1879
0.5360,0.1920
0.5400,0.2145
0.5440,0.2513
0.5480,0.2672
0.5520,0.2200
0.5560,0.2589
0.5600,0.2972
0.5640,0.3017
0.5680,0.3249
0.5720,0.3247
0.5760,0.3254
0.5800,0.3609
0.5840,0.3984
0.5880,0.3970
0.5920,0.3945
0.5960,0.3903
0.6000,0.4203
0.6040,0.4520
0.6080,0.4569
0.6120,0.4313
0.6160,0.4138
0.6200,0.4126
0.6240,0.4260
0.6280,0.4532
0.6320,0.3970
0.6360,0.3888
0.6400,0.3923
0.6440,0.3848
0.6480,0.3544
0.6520,0.3082
0.6560,0.2768
0.6600,0.3192
0.6640,0.3071
0.6680,0.2631
0.6720,0.2563
0.6760,0.2186
0.6800,0.2361
0.6840,0.2512
0.6880,0.1882
0.6920,0.2165
0.6960,0.1971
0.7000,0.1860
0.7040,0.2036
0.7080,0.1767
0.7120,0.1477
0.7160,0.1356
0.7200,0.1573
0.7240,0.1712
0.7280,0.1748
0.7320,0.1544
0.7360,0.1434
0.7400,0.1508
0.7440,0.1649
0.7480,0.1408
0.7520,0.1293
0.7560,0.1148
0.7600,0.1412
0.7640,0.1384
0.7680,0.1467
0.7720,0.1405
0.7760,0.1353
0.7800,0.1447
0.7840,0.1561
0.7880,0.1354
0.7920,0.1255
0.7960,0.1502
0.8000,0.1540
0.8040,0.1503
0.8080,0.1378
0.8120,0.1350
0.8160,0.1370
0.8200,0.1662
0.8240,0.1540
0.8280,0.1717
0.8320,0.1535
0.8360,0.1445
0.8400,0.1692
0.8440,0.1740
0.8480,0.1441
0.8520,0.1463
0.8560,0.1396
0.8600,0.1651
0.8640,0.1498
0.8680,0.1339
0.8720,0.1462
0.8760,0.1405
0.8800,0.1633
0.8840,0.1676
0.8880,0.1424
0.8920,0.1184
0.8960,0.1662
0.9000,0.1405
0.9040,0.1600
0.9080,0.1415
0.9120,0.1559
0.9160,0.1418
0.9200,0.1320
0.9240,0.1320
0.9280,0.1481
0.9320,0.1570
0.9360,0.1384
0.9400,0.1413
0.9440,0.1533
0.9480,0.1625
0.9520,0.1488
0.9560,0.1152
0.9600,0.1571
0.9640,0.1587
0.9680,0.1391
0.9720,0.1365
0.9760,0.1739
0.9800,0.1582
0.9840,0.1533
0.9880,0.1491
0.9920,0.1215
0.9960,0.1602
1.0000,0.1593
1.0040,0.1622
1.0080,0.1359
1.0120,0.1462
1.0160,0.1275
1.0200,0.1422
1.0240,0.1301
1.0280,0.1326
1.0320,0.1322
1.0360,0.1346
1.0400,0.1355
1.0440,0.1786
1.0480,0.1524
1.0520,0.1519
1.0560,0.1552
1.0600,0.1471
1.0640,0.1515
1.0680,0.1268
1.0720,0.1338
1.0760,0.1495
1.0800,0.1544
1.0840,0.1668
1.0880,0.1755
1.0920,0.1765
1.0960,0.1917
1.1000,0.1617
1.1040,0.2016
1.1080,0.2265
1.1120,0.2080
1.1160,0.2017
1.1200,0.2447
1.1240,0.2696
1.1280,0.2756
1.1320,0.2377
1.1360,0.2658
1.1400,0.2591
1.1440,0.2572
1.1480,0.2367
1.1520,0.2551
1.1560,0.2096
1.1600,0.1942
1.1640,0.2230
1.1680,0.1857
1.1720,0.1592
1.1760,0.1523
1.1800,0.1680
1.1840,0.1586
1.1880,0.1588
1.1920,0.1389
1.1960,0.1036
1.2000,0.1193
1.2040,0.1465
1.2080,0.1419
1.2120,0.1437
1.2160,0.1376
1.2200,0.1522
1.2240,0.1467
1.2280,0.1396
1.2320,0.1429
1.2360,0.1341
1.2400,0.1353
1.2440,0.1327
1.2480,0.0642
1.2520,0.0070
1.2560,0.0432
1.2600,0.0553
1.2640,0.1002
1.2680,0.1738
1.2720,0.2649
1.2760,0.4216
1.2800,0.6236
1.2840,0.9022
1.2880,1.0862
1.2920,1.1161
1.2960,0.9917
1.3000,0.8198
1.3040,0.5643
1.3080,0.3326
1.3120,0.1254
1.3160,-0.0075
1.3200,-0.0782
1.3240,-0.0501
1.3280,-0.0445
1.3320,0.0115
1.3360,0.0583
1.3400,0.1192
1.3440,0.1131
1.3480,0.1274
1.3520,0.1336
1.3560,0.1553
1.3600,0.1428
1.3640,0.1190
1.3680,0.1272
1.3720,0.1293
1.3760,0.1030
1.3800,0.1262
1.3840,0.1209
1.3880,0.1482
1.3920,0.1309
1.3960,0.0814
1.4000,0.1489
1.4040,0.1281
1.4080,0.1298
1.4120,0.1462
1.4160,0.1101
1.4200,0.1354
1.4240,0.1224
1.4280,0.1300
1.4320,0.1429
1.4360,0.1244
1.4400,0.1540
1.4440,0.1774
1.4480,0.1414
1.4520,0.1369
1.4560,0.1340
1.4600,0.1468
1.4640,0.1729
1.4680,0.1651
1.4720,0.1754
1.4760,0.1994
1.4800,0.2197
1.4840,0.2702
1.4880,0.2879
1.4920,0.2296
1.4960,0.2885
1.5000,0.2968
1.5040,0.3159
1.5080,0.3411
1.5120,0.3296
1.5160,0.3444
1.5200,0.4092
1.5240,0.4007
1.5280,0.4272
1.5320,0.3964
1.5360,0.4022
1.5400,0.4344
1.5440,0.4276
1.5480,0.4321
1.5520,0.3985
1.5560,0.3952
1.5600,0.3683
1.5640,0.3491
1.5680,0.3541
1.5720,0.3363
1.5760,0.3119
1.5800,0.3000
1.5840,0.3043
1.5880,0.2619
1.5920,0.2309
1.5960,0.2068
1.6000,0.1885
1.6040,0.2191
1.6080,0.1904
1.6120,0.1737
1.6160,0.1537
1.6200,0.1553
1.6240,0.1638
1.6280,0.1492
1.6320,0.1318
1.6360,0.1073
1.6400,0.1143
1.6440,0.1231
1.6480,0.1323
1.6520,0.1062
1.6560,0.1207
1.6600,0.0962
1.6640,0.1338
1.6680,0.0844
1.6720,0.0885
1.6760,0.1120
1.6800,0.0703
1.6840,0.0545
1.6880,0.0879
1.6920,0.0996
1.6960,0.0899
1.7000,0.1031
1.7040,0.0886
1.7080,0.1037
1.7120,0.0631
1.7160,0.0814
1.7200,0.0884
1.7240,0.0808
1.7280,0.0869
1.7320,0.0907
1.7360,0.1124
1.7400,0.0605
1.7440,0.0970
1.7480,0.0696
1.7520,0.0814
1.7560,0.0717
1.7600,0.0629
1.7640,0.0809
1.7680,0.0939
1.7720,0.0705
1.7760,0.0851
1.7800,0.0643
1.7840,0.1074
1.7880,0.0755
1.7920,0.0695
1.7960,0.0776
1.8000,0.0588
1.8040,0.0850
1.8080,0.0622
1.8120,0.0690
1.8160,0.0775
1.8200,0.0735
1.8240,0.0611
1.8280,0.0565
1.8320,0.0480
1.8360,0.0625
1.8400,0.0928
1.8440,0.0855
1.8480,0.0577
1.8520,0.0615
1.8560,0.0759
1.8600,0.0699
1.8640,0.0578
1.8680,0.0426
1.8720,0.0800
1.8760,0.0454
1.8800,0.0450
1.8840,0.0560
1.8880,0.0814
1.8920,0.0148
1.8960,0.0677
1.9000,0.0695
1.9040,0.1074
1.9080,0.0766
1.9120,0.0553
1.9160,0.0580
1.9200,0.0628
1.9240,0.0562
1.9280,0.0698
1.9320,0.0410
1.9360,0.0463
1.9400,0.0754
1.9440,0.0825
1.9480,0.0649
1.9520,0.0522
1.9560,0.1015
1.9600,0.1003
1.9640,0.1306
1.9680,0.1478
1.9720,0.1255
1.9760,0.1118
1.9800,0.1625
1.9840,0.1626
