t_s,ecg_mv
0.0000,0.0573
0.0040,0.1061
0.0080,0.0792
0.0120,0.0490
0.0160,0.0451
0.0200,0.0829
0.0240,0.0952
0.0280,0.1022
0.0320,0.0709
0.0360,0.0525
0.0400,0.0485
0.0440,0.0877
0.0480,0.0734
0.0520,0.0588
0.0560,0.0629
0.0600,0.0832
0.0640,0.0510
0.0680,0.0719
0.0720,0.0389
0.0760,0.0628
0.0800,0.0657
0.0840,0.0787
0.0880,0.0729
0.0920,0.0555
0.0960,0.0599
0.1000,0.0733
0.1040,0.0712
0.1080,0.0670
0.1120,0.0520
0.1160,0.0715
0.1200,0.0904
0.1240,0.1017
0.1280,0.0834
0.1320,0.0679
0.1360,0.0574
0.1400,0.0993
0.1440,0.1037
0.1480,0.0735
0.1520,0.1126
0.1560,0.1060
0.1600,0.1317
0.1640,0.1558
0.1680,0.1655
0.1720,0.1950
0.1760,0.1612
0.1800,0.2042
0.1840,0.2160
0.1880,0.2505
0.1920,0.1854
0.1960,0.1979
0.2000,0.1793
0.2040,0.2080
0.2080,0.1916
0.2120,0.1804
0.2160,0.1163
0.2200,0.1315
0.2240,0.1050
0.2280,0.1180
0.2320,0.1014
0.2360,0.1088
0.2400,0.1096
0.2440,0.1069
0.2480,0.1233
0.2520,0.0986
0.2560,0.0663
0.2600,0.0689
0.2640,0.1103
0.2680,0.1075
0.2720,0.1233
0.2760,0.1101
0.2800,0.1058
0.2840,0.1183
0.2880,0.1332
0.2920,0.1082
0.2960,0.0772
0.3000,0.0955
0.3040,0.0513
0.3080,0.0468
0.3120,0.0237
0.3160,0.0049
0.3200,0.0474
0.3240,0.1030
0.3280,0.1973
0.3320,0.3017
0.3360,0.4565
0.3400,0.7194
0.3440,0.9415
0.3480,1.0684
0.3520,1.1061
0.3560,0.9157
0.3600,0.7121
0.3640,0.4483
0.3680,0.2059
0.3720,0.0919
0.3760,-0.0863
0.3800,-0.0899
0.3840,-0.0576
0.3880,-0.0266
0.3920,0.0248
0.3960,0.0755
0.4000,0.1038
0.4040,0.1068
0.4080,0.1077
0.4120,0.1179
0.4160,0.1194
0.4200,0.1069
0.4240,0.1477
0.4280,0.1143
0.4320,0.1290
0.4360,0.1118
0.4400,0.1076
0.4440,0.1472
0.4480,0.1575
0.4520,0.1028
0.4560,0.1067
0.4600,0.1046
0.4640,0.1492
0.4680,0.1175
0.4720,0.1168
0.4760,0.0848
0.4800,0.1582
0.4840,0.1081
0.4880,0.1411
0.4920,0.1285
0.4960,0.1379
0.5000,0.1449
0.5040,0.1476
0.5080,0.1388
0.5120,0.1421
0.5160,0.1613
0.5200,0.1638
0.5240,0.1806
0.5280,0.1815
0.5320,0.1962
0.5360,0.2223
0.5400,0.2378
0.5440,0.2663
0.5480,0.2484
0.5520,0.2633
0.5560,0.2732
